Line,Plant,Total_nymph,Oviposition,No oviposition,Oviposition survived,Oviposition parasitised
2,101,362,205,157,15,190
4,102,427,250,177,47,203
6,103,276,140,136,21,119
7,104,364,184,180,14,172
9,105,311,142,169,11,131
12,106,310,132,178,13,119
13,107,439,223,216,28,210
16,108,311,214,97,22,175
18,109,353,169,184,19,150
19,110,426,198,228,19,179
21,111,344,209,135,25,184
23,112,249,137,112,21,116
26,113,394,211,183,17,194
27,114,316,175,141,18,157
30,115,344,207,137,9,198
32,116,444,222,222,22,200
34,117,436,243,193,24,219
35,118,455,178,277,15,163
38,119,362,182,180,15,167
39,120,419,239,180,24,215
